65

Culture: pt-BR 
Date: 15/05/2023 14:21:47.64988

ENLIGHT Version: 1.13.0.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 136
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 201
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 196
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 197
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Timestamp	# CH 1	# CH 2	# CH 3	# CH 4	# CH 5	# CH 6	# CH 7	# CH 8
15/05/2023 14:21:47.85188	0	0	0	0	0	1	0	0	1553,38098
15/05/2023 14:21:47.85288	0	0	0	0	0	1	0	0	1553,37843
15/05/2023 14:21:47.85388	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.85488	0	0	0	0	0	1	0	0	1553,38059
15/05/2023 14:21:47.85588	0	0	0	0	0	1	0	0	1553,38372
15/05/2023 14:21:47.85688	0	0	0	0	0	1	0	0	1553,38431
15/05/2023 14:21:47.85788	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.85888	0	0	0	0	0	1	0	0	1553,37902
15/05/2023 14:21:47.85988	0	0	0	0	0	1	0	0	1553,37981
15/05/2023 14:21:47.86088	0	0	0	0	0	1	0	0	1553,37628
15/05/2023 14:21:47.86188	0	0	0	0	0	1	0	0	1553,38353
15/05/2023 14:21:47.86288	0	0	0	0	0	1	0	0	1553,38098
15/05/2023 14:21:47.86388	0	0	0	0	0	1	0	0	1553,37981
15/05/2023 14:21:47.86488	0	0	0	0	0	1	0	0	1553,38333
15/05/2023 14:21:47.86588	0	0	0	0	0	1	0	0	1553,38196
15/05/2023 14:21:47.86688	0	0	0	0	0	1	0	0	1553,37824
15/05/2023 14:21:47.86788	0	0	0	0	0	1	0	0	1553,37941
15/05/2023 14:21:47.86888	0	0	0	0	0	1	0	0	1553,38216
15/05/2023 14:21:47.86988	0	0	0	0	0	1	0	0	1553,38372
15/05/2023 14:21:47.87088	0	0	0	0	0	1	0	0	1553,37765
15/05/2023 14:21:47.87188	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.87288	0	0	0	0	0	1	0	0	1553,38216
15/05/2023 14:21:47.87388	0	0	0	0	0	1	0	0	1553,38216
15/05/2023 14:21:47.87488	0	0	0	0	0	1	0	0	1553,37961
15/05/2023 14:21:47.87588	0	0	0	0	0	1	0	0	1553,37843
15/05/2023 14:21:47.87688	0	0	0	0	0	1	0	0	1553,38176
15/05/2023 14:21:47.87788	0	0	0	0	0	1	0	0	1553,38353
15/05/2023 14:21:47.87888	0	0	0	0	0	1	0	0	1553,38294
15/05/2023 14:21:47.87988	0	0	0	0	0	1	0	0	1553,37648
15/05/2023 14:21:47.88088	0	0	0	0	0	1	0	0	1553,38274
15/05/2023 14:21:47.88188	0	0	0	0	0	1	0	0	1553,38039
15/05/2023 14:21:47.88288	0	0	0	0	0	1	0	0	1553,37667
15/05/2023 14:21:47.88388	0	0	0	0	0	1	0	0	1553,38353
15/05/2023 14:21:47.88488	0	0	0	0	0	1	0	0	1553,38274
15/05/2023 14:21:47.88588	0	0	0	0	0	1	0	0	1553,38137
